"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.10",1779.96076624144,0.121652676936138,0.0655835705274372,1.85492610356193,0.0636067797791327,0.175212815776186
"ENSG00000000005.5",0.207420051679474,-0.131880942230477,5.26790435362004,-0.0250348019587429,0.980027204352166,NA
"ENSG00000000419.8",928.476001546475,-0.101209587564242,0.126859391107645,-0.797809186064606,0.424981229719803,0.576295156010645
"ENSG00000000457.9",391.633104850622,0.0955768031325962,0.18106607163861,0.527855949309807,0.597599320920398,0.719867636380695
"ENSG00000000460.12",620.982144060904,0.270036534004947,0.167350855821434,1.61359517810342,0.10661526343743,0.241345779112929
"ENSG00000000938.8",0.325405126287646,-1.96886728246738,5.23492310886708,-0.376102426248143,0.706840750639643,NA
"ENSG00000000971.11",596.833836223582,-0.674140224553996,0.132107835897935,-5.10295411299319,0.000000334392105057933,0.0000191031210715073
"ENSG00000001036.9",8041.69046684668,-0.0929452537393736,0.0663836087627609,-1.4001235466354,0.161476325017808,0.311714671403969
"ENSG00000001084.6",6411.04669199546,0.124651311115703,0.204729388131268,0.60885890517965,0.542617965251915,0.67564806875458
"ENSG00000001167.10",1804.77968273745,0.166978796104346,0.276895448587682,0.603039150538692,0.546482644713759,0.67885442060144
"ENSG00000001460.13",557.147449356513,0.190777576256076,0.100767802498011,1.8932394229778,0.0583260369183036,0.166505415095657
"ENSG00000001461.12",1300.70488353404,0.332455061791916,0.224517047280385,1.48075643172313,0.13867149024826,0.284426017023403
"ENSG00000001497.12",1671.74024454185,-0.385522687010214,0.207773032870865,-1.8554991554165,0.0635249797221924,0.17521006147046
"ENSG00000001561.6",167.652836940489,0.597621898351024,0.299458856201483,1.99567281439467,0.0459695480518395,0.143877447055753
"ENSG00000001617.7",259.54758945551,0.944468384427476,0.139578928793338,6.7665541825863,0.000000000013188566296997,0.00000000176714798774036
"ENSG00000001626.10",623.795234557267,-0.068412346180753,0.311951593646595,-0.219304365081258,0.826412961822081,0.886047911856816
"ENSG00000001629.5",2781.00111347727,0.520195051774078,0.323003272083496,1.61049468142728,0.107289905623534,0.242055092451441
"ENSG00000001630.11",4145.83460427357,0.414610389123723,0.129405116750876,3.20397214216738,0.00135545591322229,0.016620686110635
"ENSG00000001631.10",1307.52683763587,0.469481046957709,0.30448435695594,1.54188888930555,0.123100596360088,0.263833710533792
"ENSG00000002016.12",267.712643703142,0.162472624407506,0.255568693557787,0.635729760737574,0.524952575269945,0.661457437020654
"ENSG00000002330.9",1375.65951154795,-1.1239766749331,0.384924375829582,-2.91999349875083,0.00350038687986275,0.0311735360859801
"ENSG00000002549.8",1884.49160326589,-0.0734469012660123,0.099649941712612,-0.737049114166382,0.461092482384548,0.606952049465559
"ENSG00000002586.13",19700.8058667661,-0.757332538044027,0.246081525339212,-3.07756763536019,0.00208697472655865,0.0224034380879446
"ENSG00000002587.5",102.085991235981,1.04346016780144,0.499814784523711,2.08769368196218,0.0368254751355605,0.126079135429274
"ENSG00000002726.15",0.23699755833351,-1.12155702197517,5.26790435362004,-0.212903831711456,0.83140197362854,NA
"ENSG00000002745.8",7.42118681266528,0.593194274826552,0.581563589161888,1.01999899216769,0.307728938724199,0.466931030025332
"ENSG00000002746.10",18.4155758399588,0.304375619391652,0.641262414285834,0.474650646304652,0.635036000939469,0.746293156454287
